ID,HR,rMSSD,pNN50,SDNN,ln(HF),ln(LF),Time,MAD,MAD_HR
10_75_50_1,80.14808626,62.97695413,33.95061728,86.45021473,2.794464001,2.897536484,120.2273049,36.03418314,0.449595054
9_54_45_1,81.8091701,55.66127815,33.13253012,84.92354831,2.797354161,3.293146886,120.2070514,35.3232434,0.431776088
9_54_45_0,80.83880363,57.48272448,28.83435583,82.21523396,2.554454103,3.066351044,120.3509397,34.96826401,0.432567807
9_54_45_2,81.16926805,42.82013081,22.28915663,71.98712111,2.790283081,2.935523827,120.1746417,35.80701658,0.44114007
10_75_50_2,77.71799965,52.18597848,29.48717949,67.92973023,2.741448908,3.16319714,120.023653,30.99970106,0.39887415
9_4_21_5,79.09499195,47.44633972,25.94936709,63.73475484,2.668634143,3.263122405,120.6959067,33.83086177,0.427724448
9_75_21_1,78.76954184,48.79778369,26.08695652,68.03913842,2.676876304,3.048613345,120.6178685,32.48415875,0.412394918
9_55_11_0,75.92998061,54.83448296,29.60526316,70.46244682,2.567477944,2.988606465,120.1384477,29.73631638,0.391628131
9_61_45_2,74.36665778,57.77322267,34,77.16176042,2.881092577,3.090612287,120.2529848,27.5973933,0.371099013
10_5_50_2,85.23042901,37.94560798,17.54385965,52.05053796,2.414161599,2.814583281,120.1663067,36.23206464,0.425107148
9_61_45_1,72.91380248,47.58688661,28.27586207,87.25693537,2.500754166,3.083450662,120.0079388,27.150192,0.372360117
9_4_21_7,78.13901877,52.85023172,30.12820513,62.25679402,2.693141803,2.701833673,120.7020582,31.09099872,0.397893386
9_13_21_4,75.88509048,46.65473085,20,62.0874499,2.727643042,2.958090019,120.6685347,28.97234538,0.381792328
9_64_11_0,92.1392862,33.76714174,14.20765027,49.49937759,2.465335253,2.664318781,120.4492322,31.1992342,0.338609463
9_61_45_0,72.67685097,55.05519369,37.16216216,78.97299821,2.759940728,3.143599912,120.605885,28.16897255,0.38759209
9_4_21_6,77.53310103,42.18789341,18.06451613,62.87704006,2.525521729,2.960667418,120.1267573,28.79275603,0.371360821
9_34_11_0,82.17773437,34.30153116,12.80487805,58.32055823,2.161982763,2.83433645,120.2228343,33.5304108,0.408023062
9_64_21_3,86.51340847,23.21922733,6.358381503,29.60646367,1.79900389,2.12698053,120.6486884,25.18138394,0.291069146
9_56_21_5,83.92469303,39.47891281,15.56886228,66.76580508,2.274735998,2.619021162,120.6131454,34.16671169,0.407111548
9_28_11_1,75.88947529,50.12313486,25,65.38076895,2.482629858,2.674442521,120.2366601,28.45880024,0.375003255
9_61_21_3,72.42463609,53.24316503,28.08219178,68.93261369,2.846069482,3.201540926,120.5653587,25.60037957,0.353476123
9_61_11_2,72.96768446,52.29986441,19.8630137,99.12037197,2.623578318,3.223827694,120.1478006,25.72448115,0.352546217
9_34_45_0,81.51679096,44.9700583,19.27710843,50.35265103,2.58266317,2.793222599,120.4962009,34.74973822,0.42628933
9_80_21_3,87.61164049,37.88885149,13.14285714,40.80093513,2.607527016,2.432245148,120.189556,37.9370016,0.433013255
9_61_11_3,72.05861024,53.67993173,32.19178082,90.33872414,2.710630454,3.301227736,120.7076315,24.29731302,0.337188199
9_4_21_8,76.08601914,49.46270633,20.91503268,81.98348225,2.450278892,2.803970647,120.3923892,30.10168033,0.395626958
9_34_11_1,83.00642682,35.03707087,15.38461538,48.51369779,2.379123398,2.7518865,120.3613553,33.96787533,0.409219824
9_46_11_1,80.75658399,29.98388542,8.641975309,50.15195922,2.139526447,2.531071775,120.3596225,28.11185906,0.348106095
9_8_21_2,88.13246416,33.03769736,13.14285714,48.94986772,2.612744357,2.54801973,120.4009846,28.08626397,0.318682386
9_38_21_4,85.31431393,50.338783,22.35294118,70.48669782,2.727830562,3.339168239,120.4056518,42.65446902,0.499968494
9_61_11_1,72.99294554,51.3989314,26.02739726,84.51506891,2.543520583,3.237665602,120.6189999,27.08959845,0.371126254
9_13_21_3,74.08935774,34.89694059,14.09395973,51.49480729,2.497859326,2.746726502,120.6214822,27.24711871,0.367760223
9_80_21_5,86.50794629,33.35888633,15.51724138,39.77917608,2.1892703,2.740407411,120.5829555,37.65489644,0.435276735
9_4_21_2,77.13155321,51.03681348,28.84615385,56.89645376,2.536731966,2.685108525,120.4570253,31.70103287,0.41099954
10_5_50_1,83.46018382,33.79894894,16.66666667,45.57511916,2.160365786,2.821846284,120.0365558,33.84888505,0.405569261
9_38_11_0,82.65369323,55.96341884,25.88235294,87.23688841,2.751300308,3.152060875,120.4341551,41.5952515,0.503247343
9_34_45_1,80.48480077,43.08418548,17.79141104,52.02734396,2.684216728,2.682693999,120.0329969,30.85248106,0.383333012
9_21_21_1,80.33874198,45.93194424,24.28571429,90.77316216,2.817366963,2.751831678,120.7197021,37.54933,0.467387578
9_55_21_2,74.39247788,47.73738839,26,74.72319067,2.841227704,3.41398111,120.0777479,29.65123316,0.398578378
9_55_21_0,75.29244528,48.76452537,26.97368421,66.22882106,2.793805487,2.849886512,120.3282804,30.26861455,0.402013966
9_66_11_0,86.52019983,30.95861922,10.46511628,48.94427665,2.268740437,2.629329867,120.6710226,33.45415877,0.386662985
10_23_50_2,79.50085834,37.24177859,14.9068323,54.53720067,2.437870047,2.815188433,120.0169476,29.78954605,0.374707226
9_21_21_4,79.67865674,42.70316379,22.5,67.61644242,2.768324904,3.094562125,120.5692806,34.43818391,0.43221341
10_113_50_0,77.73743121,33.46767452,9.615384615,42.71142874,2.248700856,2.579272553,120.5480352,26.52611644,0.341227077
9_61_21_1,72.77064658,53.44915929,30.40540541,80.85605001,2.617948282,3.035361563,120.7329864,27.33378574,0.37561554
9_36_11_1,80.89329402,28.27386135,7.317073171,46.22226806,2.307231417,2.282713788,120.531976,30.07319333,0.371763738
9_34_21_2,82.46357328,22.36212616,6.024096386,28.38915335,1.827407883,2.283107035,120.3879382,32.35428096,0.392346338
9_66_21_2,86.89715138,30.4700285,11.11111111,64.67380262,2.427672634,2.766147999,120.2223142,33.65623585,0.387311153
9_54_21_0,79.11792063,43.47773647,22.64150943,54.34266094,2.503867543,2.811362948,120.3164278,31.77853236,0.401660358
9_11_45_1,73.96242185,48.3352486,28.8590604,60.1430045,2.547172849,2.82474342,120.2813611,31.47339757,0.425532274
9_36_21_2,82.06099878,29.49445271,9.696969697,39.53056852,2.244458022,2.697637639,120.4441943,32.3136922,0.393776492
9_11_21_0,79.98046875,39.10550248,10.6918239,60.17673785,2.090532241,2.533840101,120.5914934,35.32847752,0.441713809
9_37_11_1,74.19569519,52.48415248,31.57894737,76.47842777,2.800202261,3.235246579,120.2002067,27.16850878,0.366173653
9_73_21_1,84.01771057,33.82251514,12.5748503,43.5795221,2.269046966,2.609034545,120.0343692,34.48472201,0.410445866
10_37_50_2,74.97417475,43.56272737,21.85430464,60.85975862,2.683536219,3.043790021,120.3500157,27.24437535,0.363383464
9_61_21_4,70.8846773,51.88317353,24.11347518,71.41476346,2.669531304,2.976270931,120.0299095,24.31778874,0.343061289
10_37_50_0,72.36505379,44.45896564,22.60273973,70.32256245,2.489073465,3.196123325,120.8521577,27.00538659,0.373182706
9_49_21_1,82.86944465,33.45612605,13.85542169,47.28884619,1.941551517,2.635522211,120.5117125,34.87458285,0.420837656
9_24_11_0,85.24118419,44.44879543,20.1183432,74.45397039,2.566762104,2.750657877,120.541787,42.49529505,0.498530088
9_49_21_5,83.31361736,37.84400338,15.6626506,49.0862152,2.532055971,2.9211031,120.3429938,33.35693964,0.400378002
9_4_21_4,76.01794443,43.75319453,23.37662338,75.19023884,2.647091771,3.178205461,120.624556,29.73933834,0.391214713
9_13_21_0,73.24179606,33.02153879,12.92517007,56.50915038,2.295123862,2.930597695,120.1308494,26.72166596,0.364841762
9_15_21_2,77.34375,22.79740923,3.205128205,40.48510476,1.987643092,2.749855413,120.5945241,23.72908832,0.306800334
9_80_21_2,86.19118622,34.48773174,15.69767442,44.20644226,2.291867867,2.548949209,120.1683389,36.07535597,0.418550406
9_54_21_2,77.39768803,46.92939435,24.20382166,54.28895532,2.744243831,2.705747065,120.7534204,29.03446406,0.37513348
9_66_21_5,86.57226563,35.42200878,13.87283237,44.01348421,2.291857282,2.497423909,120.5772495,33.11586034,0.382522741
9_28_11_0,73.72580908,45.30925079,26.35135135,58.89935672,2.549702137,2.930209883,120.1089698,27.22105742,0.369220193
9_61_21_2,70.32595848,55.07454622,28.36879433,76.50230951,2.60340455,3.343043913,120.4019603,23.07436966,0.32810601
9_54_11_0,76.51682719,49.00071372,22.87581699,71.97132801,2.687126017,2.937249219,120.2250909,29.97052756,0.391685446
10_33_50_0,71.9824819,49.1514995,25.51724138,76.10975355,2.802829141,3.247725963,120.8151108,26.84673829,0.372962109
10_37_50_1,72.49350484,48.04798892,25.51724138,70.32362679,2.476904718,2.784237802,120.6083876,25.24021791,0.348172129
9_49_11_0,84.99328719,37.19945652,16.26506024,72.58287144,2.327460755,2.824047349,120.5476755,33.21258796,0.39076719
9_79_21_2,83.8544081,44.62468911,18.56287425,57.13837552,2.373056588,2.527581329,120.3585644,36.96212659,0.440789309
10_5_50_2,85.23042901,37.94560798,17.54385965,52.05053796,2.414161599,2.814583281,120.1663067,36.23206464,0.425107148
9_8_21_5,87.64675797,35.91669236,16.27906977,48.43259274,2.432638393,2.836978946,120.0202183,28.2456594,0.322267019
10_28_50_2,74.92093617,38.17853191,19.86754967,59.37926297,2.486484913,3.047898517,120.411363,26.04418259,0.347622226
9_79_21_7,82.38928321,35.73268831,16.86746988,41.79725223,2.502432617,2.430224921,120.4845383,34.42202097,0.417797311
9_80_21_1,85.83479128,40.38499193,19.88304094,51.60829549,2.653495256,2.631192557,120.4395888,36.99344944,0.430984323
9_73_11_0,81.73828125,34.49032886,12.72727273,49.90096523,2.188838663,2.531807051,120.1100419,32.55703597,0.398308302
9_4_45_0,70.33125056,53.53453205,27.97202797,80.8448438,2.51014176,3.349084952,120.5571183,29.18325815,0.414940129
9_15_11_1,78.74941974,29.50735059,5.732484076,57.86174686,2.260008945,3.017488277,120.0614871,24.44486605,0.310413285
9_34_21_1,82.06179327,35.31995602,14.02439024,46.83491921,2.405111838,2.623163126,120.0227926,32.22522743,0.392694653
9_22_11_1,76.65298909,38.87568342,20.12987013,46.70316829,2.35299687,2.820300461,120.0686,29.70323198,0.387502592
9_4_21_3,74.20454478,43.80326045,18.42105263,74.72393089,2.274848826,3.036820604,120.2859278,29.38712853,0.396028688
10_23_50_0,78.21082442,33.57737321,13.37579618,47.62918047,2.187201266,2.674919918,120.1066311,28.30458196,0.361901082
9_81_21_1,79.83996489,23.61626406,3.144654088,27.66907859,2.096977733,2.192087835,120.0005512,24.73382939,0.309792588
9_34_21_5,80.79446613,30.40900696,11.72839506,39.81551947,2.355877877,2.495134893,120.0049871,31.91320883,0.394992508
9_34_21_4,81.71381322,33.22616594,11.51515152,45.60731142,2.324457413,2.679788031,120.4307274,33.57750966,0.410915956
9_55_21_1,72.5148874,52.75431647,27.08333333,93.77238618,2.533335918,3.343539454,120.3334092,27.8775887,0.384439523
9_34_21_6,81.32263803,27.46298547,6.707317073,40.64630927,2.146394279,2.446102275,120.0618574,32.25286833,0.396603813
9_4_21_1,77.03686401,40.47376118,22.58064516,72.26842856,2.228154102,2.927944257,120.2525975,30.33388259,0.393758014
10_33_50_1,71.48939527,60.32021099,35.17241379,96.10679425,2.682840702,3.444932389,120.3751603,25.76679951,0.360428276
9_34_21_3,81.74769078,35.67908306,15.6626506,42.84642284,2.630738943,2.765759916,120.5965346,34.0396841,0.416399335
9_6_21_3,77.16692281,28.6542972,8.387096774,42.59762461,1.916018604,2.565346998,120.4704039,28.05742679,0.363593957
9_22_21_4,75.35617873,37.07762674,16.33986928,56.78561859,2.545513554,2.874011931,120.4885341,28.44746283,0.377506706
10_28_50_0,76.65792921,37.7570839,18.83116883,58.76612782,2.419615799,2.88307072,120.1876448,28.96170193,0.377804387
9_11_45_0,76.02539062,53.73715638,26.62337662,69.46489089,2.486630451,3.059452759,120.2219699,33.98060938,0.446963956
9_79_11_1,82.61431031,30.66256246,10.84337349,37.74517994,2.30424656,2.756363748,120.1568247,33.08384205,0.400461396
9_63_21_1,80.88524001,44.0375108,22.36024845,65.77674762,2.76044454,3.011252981,120.0878038,34.10756349,0.421678461
9_64_21_2,85.26488851,24.2439638,6.432748538,37.31365917,1.974090795,2.423520049,120.1383063,25.77722936,0.302319393
10_23_50_1,76.03539588,39.13151156,16.55629139,65.78401332,2.471058215,3.123309896,120.2978023,25.65412006,0.337397074
10_113_50_2,78.96726182,26.0173128,8.176100629,30.96248988,2.08564511,2.094665283,120.4520834,27.70644962,0.350859951
9_29_11_0,85.69335937,43.06493393,18.45238095,71.91135122,2.46854974,2.825480842,120.5545606,35.15213281,0.410208365
9_54_21_1,76.14334367,34.7905025,14.19354839,45.38507449,2.352824609,2.431549121,120.2837428,27.54816047,0.361793417
9_35_21_0,78.57271695,40.15031951,11.03896104,78.24840297,2.333323001,2.721710305,120.6630709,27.1878502,0.346021511
9_35_21_4,79.54502497,22.174908,3.773584906,40.19858135,1.493811706,2.060080347,120.313183,25.53602958,0.321026106
9_54_11_1,75.64820552,46.30891376,26.62337662,50.14054358,2.623704623,2.514921811,120.3713035,27.09117108,0.358120472
9_36_11_2,80.88694324,25.27130521,6.666666667,51.70787289,2.075310789,2.522948347,120.5226745,30.20209665,0.37338655
9_29_11_1,86.52833843,35.21738534,15.11627907,46.88580853,2.395572056,2.574079777,120.0493414,36.82857355,0.425624416
9_4_45_1,68.28098333,44.87224881,18.84057971,79.52173367,2.500732993,3.064550894,120.2321458,25.40510771,0.372067104
9_37_21_2,74.28027337,42.30242451,21.33333333,64.56009485,2.668483174,2.922843997,120.5114328,26.92428621,0.362468863
9_63_11_1,79.03390157,20.45336419,5,37.18277598,1.532345307,2.330476181,120.6323163,27.14182132,0.343419985
9_79_11_0,82.13325126,38.20145743,15.33742331,59.90812757,2.281126111,2.514092626,120.3093287,32.09198328,0.390730706
9_4_45_2,75.03672253,32.32627151,12.41830065,52.77822791,2.279414223,3.030185072,120.5581277,29.56860775,0.394055161
10_5_50_1,83.46018382,33.79894894,16.66666667,45.57511916,2.160365786,2.821846284,120.0365558,33.84888505,0.405569261
9_11_21_2,81.69089909,31.25856668,10.42944785,50.52685397,2.263119133,2.699650099,120.5205515,36.22365721,0.443423412
10_33_50_2,71.12424336,47.97363008,27.08333333,66.27747582,2.358367304,3.067321895,120.1316194,24.13368856,0.339317333
9_4_21_0,72.19905063,42.90453833,20.94594595,72.9789853,2.419428039,3.000672808,120.3902016,29.33211245,0.406267287
9_6_21_2,76.11147741,30.93445385,8.441558442,40.44919039,1.923692688,2.32964119,120.3926438,26.9818816,0.354504767
9_8_21_4,86.64933343,39.41355877,19.88304094,53.35572686,2.218334747,2.705250357,120.3209343,27.01211211,0.311740564
9_37_11_0,73.20167413,64.66792064,32.19178082,100.3560156,2.998576846,3.421033031,120.6204978,25.06872398,0.342461075
9_81_21_2,79.36721604,25.35819077,5.660377358,34.0050046,2.127705398,2.4042846,120.5400903,19.08177861,0.240423938
10_31_50_1,70.50480144,37.12012971,13.98601399,56.93669358,2.350246043,3.093645813,120.6037543,25.38717234,0.360077212
10_28_50_1,74.13845386,33.69938736,13.24503311,55.9451607,2.233395379,2.809203925,120.729067,26.888604,0.362680938
9_66_21_4,85.3713115,31.41495498,8.139534884,42.20728596,2.244164013,2.549375738,120.665081,33.5031181,0.392440007
9_36_11_0,79.34499303,49.33460224,21.73913043,74.12558151,2.506541521,2.915805254,120.0590312,34.81278669,0.438752155
9_46_11_0,78.93885105,57.70502641,33.12101911,85.518053,2.676878874,3.227987905,120.036872,30.72040539,0.389167121
9_31_21_3,79.5974322,34.53811371,13.83647799,41.59215517,2.164985664,2.424899231,120.0216025,31.39575661,0.394431777
9_32_11_1,72.94978286,36.37902132,16.21621622,52.32404601,2.52248502,2.705478565,120.2566049,25.68964817,0.352155238
9_21_21_3,77.77474055,45.08849192,21.15384615,57.35955336,2.44307828,2.819527502,120.4681145,34.01168281,0.437310142
9_56_21_4,80.55150457,40.74467632,17.68292683,82.806975,2.468162705,2.984772944,120.1998424,36.68210451,0.455386957
9_22_21_1,73.94508408,41.48009986,20,59.20465109,2.650608686,2.836047668,120.5072146,27.90805813,0.377416004
9_64_21_1,83.78296419,28.28224718,8.383233533,44.99945536,2.311242219,2.816775858,120.0391222,26.2164553,0.31290914
9_35_21_3,79.64587676,26.29727569,7.594936709,42.47659013,2.237829699,2.296564444,120.7246158,25.71302427,0.322841876
9_16_21_0,71.16221025,21.93337868,3.496503497,32.77145119,1.97159629,2.018963423,120.1438779,20.84001342,0.292852251
9_35_21_5,80.41992187,19.59991012,6.211180124,27.07990579,1.879671318,2.121511307,120.2759724,26.29861501,0.327016172
9_11_11_1,75.67906751,42.75915481,16.88311688,65.12796146,2.408927111,2.79204893,120.2257169,34.06467814,0.450120215
9_73_21_0,79.75092266,47.05987594,20,63.2564637,2.302763497,2.974690251,120.1114076,34.15490855,0.428269761
9_44_21_5,80.41316611,33.64075366,11.25,41.49978283,2.237460797,2.775728897,120.4364266,37.55016544,0.46696539
9_23_11_0,81.18692018,28.3953238,10.42944785,36.57158091,2.122368633,2.558076291,120.0803145,26.16064731,0.322227364
9_22_21_2,74.74066388,43.72740649,22.81879195,55.478733,2.688964005,2.710943475,120.2419624,28.04613141,0.37524595
9_32_11_0,73.55950024,39.90475582,17.44966443,60.30422034,2.508135103,2.890301924,120.4492041,26.10910727,0.354938617
9_49_21_0,81.97317049,58.61066721,21.60493827,92.59887136,2.537017466,3.108034137,120.4989389,32.86045705,0.400868441
9_21_21_2,78.01889681,37.55106003,15.09433962,51.65734518,2.226350619,2.722502008,120.6676837,34.40502534,0.440983233
9_16_21_4,73.80392355,11.1719739,0.675675676,27.7885517,1.15641268,1.894679315,120.2829207,21.5967953,0.292623946
9_22_11_0,74.47757706,42.80178014,18.66666667,69.52830259,2.526003103,2.715301668,120.658663,28.41288854,0.381495876
9_49_21_3,82.57282307,42.89649223,17.57575758,56.33947289,2.606926716,2.977826922,120.6237947,33.65208275,0.407544292
9_31_21_4,79.45821397,31.66997498,16.25,42.35208882,2.293432339,2.860985489,120.6832606,30.70299656,0.386404313
9_80_21_4,83.26866989,41.32701318,22.89156627,51.13319239,2.550896051,2.747279527,120.0677403,34.74973844,0.417320686
9_21_21_0,77.08318017,50.76054307,24.20382166,91.57329581,2.683699092,2.897328185,120.9892964,35.09207339,0.455249424
9_61_21_0,69.23029439,49.86794003,30.21582734,70.87115379,2.754295705,3.088955337,120.0520928,22.77573915,0.328985155
9_34_21_0,78.34177425,34.0192974,13.29113924,53.87146664,2.507721648,2.785525398,120.2067276,30.86382471,0.393963821
9_44_11_0,79.57607256,49.09002669,14.74358974,84.6435933,2.273622263,2.915112994,120.3849525,34.3168313,0.431245602
9_58_21_2,75.66321509,30.77426871,9.933774834,48.73297066,1.859873895,2.977701869,120.1228048,26.01417777,0.34381539
10_68_50_2,72.94921875,33.09828853,14.28571429,54.13422305,2.405413196,2.551491646,120.007859,26.25062507,0.359847926
9_6_21_1,76.02411373,36.91277899,9.74025974,56.85990695,2.120886881,2.555128939,120.6651526,27.83097665,0.366080909
10_5_50_0,79.16698203,46.18411255,9.615384615,86.15664346,2.169749355,2.694712217,120.5591379,30.339868,0.383238911
9_22_21_0,73.82818848,36.73522735,16.32653061,54.45046224,2.18611017,2.879367276,120.0410426,26.44872641,0.358246991
9_11_21_3,80.0133497,33.73651569,11.18012422,44.16031406,2.289871572,2.466711496,120.3104492,35.13855337,0.439158634
9_61_11_0,69.52666148,46.53305294,21.9858156,76.27032252,2.461379538,2.89196135,120.1596068,23.76719713,0.341842922
9_36_21_1,81.23448791,28.00164671,8.588957055,42.18096609,2.164383233,2.41731838,120.4180784,31.24578463,0.384636937
9_36_21_0,81.77174655,49.02562733,19.63190184,69.35392999,2.885710579,3.282298327,120.4262064,34.22932991,0.418596048
10_78_50_0,65.84951252,56.44599075,31.06060606,98.0521657,2.672577726,3.373455736,121.0688543,21.41241833,0.32517201
9_15_21_0,75.5859375,22.70086556,5.263157895,39.34015233,2.100448511,2.424337767,120.4125177,24.17912105,0.319889147
9_6_11_0,77.02987248,33.68479847,9.615384615,61.17475934,2.345541887,2.932223744,120.8003107,30.62206068,0.397534874
9_79_21_4,79.58510698,45.82755485,24.52830189,70.09453056,2.412936062,3.073374251,120.024204,35.17469947,0.441975902
9_73_21_3,79.79695125,37.40107003,10.6918239,40.32082704,2.694409119,2.534072824,120.0824256,30.79202608,0.385879731
9_13_21_1,71.72049586,40.14764468,17.93103448,54.36514516,2.354733592,3.021694449,120.7936998,25.78464972,0.359515776
10_68_50_0,71.74762292,40.95550636,15.97222222,70.53881186,2.303605799,3.134283472,120.4313915,24.56954189,0.342443985
9_15_11_0,74.85260777,29.64423478,6.040268456,56.75364683,2.40695928,3.2511264,120.1372465,21.45313298,0.286605018
9_49_21_4,82.58091848,35.22437953,19.51219512,48.65164815,2.477628761,2.899913774,120.2183112,32.90835016,0.398498234
9_81_11_1,76.89233589,27.11770882,3.246753247,38.27928837,2.30100537,2.856070686,120.7604792,20.15969826,0.262180854
9_13_11_3,70.43806403,49.90265589,24.44444444,91.0187791,2.568236699,3.033243519,120.3792594,26.13064023,0.370973288
9_22_21_3,73.69952998,33.88905299,16.10738255,46.26547365,2.272910742,2.88796145,120.0058553,27.54248049,0.373713109
9_35_11_1,76.46713024,17.20155771,1.935483871,25.99604312,1.357460368,2.134900165,120.5541984,21.32518286,0.278880387
